»ÌselnÌk SC_T_PRVKU_P_DAT;;;;;;;;;;;;;;;;;
;;;;;;;;V˝znam: vrstva, barva, typ, tkouöùka, v˝öka textu, font, vzt. bod, öÌ¯ka textu;;;;;;;;;
;;;;;;;;ZruöenÈ prvky-minulost;Tisk·rna, plotr;Obrazovka;;;;;;;
KOD;SKUP_KOD;CLEN_KOD;TUM_KOD;POLOHOPIS;EDITOVATELNY;PLATNOST_OD;VYZNAM;MINULY_STAV;PRITOMNY_STAV;BUDOUCI_STAV;PRISLUSNOST;KRIVKA;TYP_PRVKU;PLATNOST_DO;;;Blok NVF
21820;4;28;0;a;n;1.1.1998;Hranice - vnit¯nÌ kresba pohybliv·, nest·l·;4 148 0 0.10;4 0 0 0.10;4 4 0 0.10;a;a;1;;;;DPM, SBP, SOBR
21810;4;29;0;a;n;1.1.1998;Hranice - vnit¯nÌ kresba shora neviditeln·;4 148 0 0.02;4 0 0 0.02;4 4 0 0.02;a;a;1;;;;DPM, SBP, SOBR
21850;4;30;0;a;n;1.1.1998;Hranice - vnit¯nÌ kresba podzemnÌ;4 148 0 0.05;4 0 0 0.05;4 4 0 0.05;a;a;1;;;;DPM, SBP, SOBR
21830;4;31;0;a;n;1.1.1998;Hranice - vnit¯nÌ kresba p¯evzat·;4 148 0 0.12;4 0 0 0.12;4 4 0 0.12;a;a;1;;;;DPM, SBP, SOBR
21840;4;32;0;a;n;1.1.1998;Hranice - vnit¯nÌ kresba sporn·;4 148 0 0.13;4 0 0 0.13;4 4 0 0.13;a;a;1;;;;DPM, SBP, SOBR
50100;5;34;0;a;n;1.1.1998;Osa ûelezniËnÌ koleje norm.rozchodu;6 150 2 0;6 0 2 0;6 6 2 0;n;a;1;;;;DPM, SBP, SOBR
52100;5;35;2;a;n;1.1.1998;Visut· lanov· dr·ha;6 150 2 5 5.21;6 0 2 5 5.2;6 6 2 5 5.2;n;a;1;;;;
52200;5;36;1;a;n;1.1.1998;PozemnÌ lanov· dr·ha;6 150 2 0 5.22 10 10;6 0 2 0 5.2 10 10;6 6 2 0 5.2 10 10;n;a;1;;;;
60500;5;37;0;a;n;1.1.1998;Osa nadzemnÌho vedenÌ;6 144 1 0.04;6 0 1 2;6 0 1 2;n;a;1;;;;DPM, SBP, SOBR
60502;5;38;2;a;n;1.1.1998;VenkovnÌ silovÈ vedenÌ bez rozliöenÌ;6 144 1 2 6.59;6 0 1 2 6.59;6 0 1 2 6.59;n;a;1;;;;DPM, SBP, SOBR
411;5;39;0;a;n;1.1.1998;P¯edmÏt malÈho rozsahu urËen˝ st¯edem;6 144 1 0 4.11;6 0 1 0 4.11;6 0 1 0 4.11;n;n;7;;;;DPM, SOBR
601;5;40;0;a;n;1.1.1998;Kovov˝, betonov˝ stoû·r;6 144 1 0 6.01;6 0 1 0 6.01;6 0 1 0 6.01;n;n;7;;;;DPM, SOBR
602;5;41;0;a;n;1.1.1998;P¯Ìhradov˝ stoû·r;6 144 1 0 6.02;6 0 1 0 6.02;6 0 1 0 6.02;n;n;7;;;;DPM, SOBR
604;5;42;0;a;n;1.1.1998;Stoû·r vysÌlacÌ, retranslaËnÌ stanice;6 144 1 0 6.04;6 0 1 0 6.04;6 0 1 0 6.04;n;n;7;;;;DPM, SOBR
811;5;43;0;a;n;1.1.1998;Ve¯ejn· studna;6 144 1 0 8.11;6 0 1 0 8.11;6 0 1 0 8.11;n;n;7;;;;DPM, SOBR
420;5;44;0;a;n;1.1.1998;Most, propustek;4 144 0 0 4.20;4 0 0 0 4.20;4 0 0 0 4.20;n;n;7;;;;DPM, SOBR
402;6;45;0;n;n;1.1.1998;Budova zdÏn·, betonov·, kovov·;5 144 1 0 4.02;5 0 1 0 4.02;5 0 1 0 4.02;a;n;7;;;;DPM
403;6;46;0;n;n;1.1.1998;Budova d¯evÏn·;5 144 1 0 4.03;5 0 1 0 4.03;5 0 1 0 4.03;a;n;7;;;;DPM
409;6;47;0;n;a;1.1.1998;Kostel, kaple nebo modlitebna;5 144 1 0 4.09;5 0 1 0 4.09;5 0 1 0 4.09;n;n;7;;;;DPM
410;6;48;0;n;a;1.1.1998;Synagoga;5 144 1 0 4.10;5 0 1 0 4.10;5 0 1 0 4.10;n;n;7;;;;DPM
412;6;49;0;n;a;1.1.1998;P¯edmÏt malÈho rozsahu bez rozliöenÌ;3 144 1 0 4.12;3 0 1 0 4.12;3 0 1 0 4.12;n;n;7;;;;DPM
404;6;204;0;n;n;1.1.1998;Budova zdÏn·, betonov·, kovov· evidovan· v SPI;5 144 1 0 4.02;5 0 1 0 4.02;5 0 1 0 4.02;a;n;7;;;;OB
405;6;205;0;n;n;1.1.1998;Budova d¯evÏn·  evidovan· v SPI;5 144 1 0 4.03;5 0 1 0 4.03;5 0 1 0 4.03;a;n;7;;;;OB
21700;6;200;0;a;n;1.1.1998;Obvod budovy evidovanÈ v SPI;9 144 1 0;9 4 1 0;9 4 1 0;a;n;1;;;;OB, SBP, SOBR
101;7;50;0;a;n;1.1.1998;Bod polohovÈho bodovÈho pole;8 146 1 0 1.01;8 0 1 0 1.01;8 2 1 0 1.01;n;n;7;;;;OBBP, SOBR
102;7;51;0;a;n;1.1.1998;Bod PBP - pouze podzemnÌ znaËka;8 146 1 0 1.02;8 0 1 0 1.02;8 2 1 0 1.02;n;n;7;;;;OBBP, SOBR
103;7;52;0;a;n;1.1.1998;Bod jednotnÈ nivelaËnÌ sÌtÏ;8 146 1 0 1.03;8 0 1 0 1.03;8 2 1 0 1.03;n;n;7;;;;OBBP, SOBR
